Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,48.2,48,150974
Vermont,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,59.5,22,62597
Mississippi,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,60.2,152,485636
Alabama,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,60.8,306,1075017
Maine,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,64.5,46,115709
Kentucky,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,68,256,848689
Arkansas,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,71.1,331,1153796
District of Columbia,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,72.3,157,389907
New Hampshire,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,74.6,100,263937
Rhode Island,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,77.3,357,840037
Maryland,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,77.8,1250,3097106
South Carolina,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,79.2,540,1484585
Tennessee,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,79.4,627,1887534
Louisiana,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,79.5,668,1214757
Virginia,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,79.6,1543,4059992
North Carolina,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,82.6,1614,4956601
Iowa,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,83.2,314,974227
Nebraska,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,83.9,363,1075460
Missouri,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,84.7,559,1313666
Georgia,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,85,1873,5077498
Ohio,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,87.5,1079,2300543
Indiana,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,92.6,1046,2377706
Montana,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,93.1,104,210190
New Jersey,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,93.7,6146,9075379
Massachusetts,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,93.8,2232,4140680
Minnesota,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,95,577,1538681
Delaware,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,96.3,213,456746
South Dakota,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,96.4,53,183085
Nevada,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,96.6,2329,4379003
Idaho,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,97.3,473,1114839
Connecticut,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,98.8,1749,2936075
Oregon,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,99,1156,2761442
New York,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,99,15186,18603586
Washington,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,100,2055,4857623
Wisconsin,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,102.2,879,2041405
Illinois,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,102.3,6440,10956626
Utah,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,103.9,987,2230298
Alaska,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,103.9,102,265387
Oklahoma,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,105,933,2157427
Florida,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,108.7,29479,27343722
Pennsylvania,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,109.1,2745,4858935
North Dakota,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,113.3,42,151830
California,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,113.7,57672,76904580
Kansas,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,114.2,916,1758624
Arizona,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,114.6,7907,11303451
Texas,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,115.7,42023,56463001
Michigan,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,120.2,1657,2605670
Wyoming,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,125.2,224,294987
Colorado,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,127.8,4557,6153503
New Mexico,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,131.1,6226,5158923
Hawaii,All Types of Cancer,2016-2020,Male and Female,Hispanic,Mortality,188.7,584,731366
